fecha,summary,description
2026-04-17T00:00:00Z,🔬 TRIAC – Fabricación 13 kg / 866 u (hecho),"TRIAC_BATCH – Suero Triactive Retinoid+NAD

📦 Lote: 13 kg → 866 u (envase 15 ml) ✅ Fabricado
📊 Stock post: ~866 u (~47 días)
⏭️ Próxima: May 19 (trigger 15 días)"
2026-04-20T00:00:00Z,💋 GLOSSMERLOT – Fabricación 1.2 kg / 120 u (hecho),"GLOSS_BATCH – Lip Sérum Merlot

📦 Lote: 1.2 kg → 120 u (envase 10 ml) ✅ Fabricado
📊 Stock post: ~120 u (~44 días)
⏭️ Próxima: May 21 (trigger 20 días)"
2026-04-20T00:00:00Z,💋 GLOSSMALVA – Fabricación 1.2 kg / 120 u (hecho),"GLOSS_BATCH – Lip Sérum Malva

📦 Lote: 1.2 kg → 120 u (envase 10 ml) ✅ Fabricado
📊 Stock post: ~120 u (~33 días)
⏭️ Próxima: May 10 (trigger 20 días)"
2026-04-22T00:00:00Z,🧴 EMLIM – Fabricación 20 kg / 133 u (hecho),"EMLIM – Emulsión Limpiadora

📦 Lote: 20 kg → 133 u (envase 150 ml) ✅ Fabricado
📊 Stock post: ~158 u (~22 días desde envasado Apr 28)
⏭️ Próxima: May 22 (lote de 90 días)"
2026-04-22T00:00:00Z,👁️ CMULP – Fabricación 9 kg / 600 u (hecho),"CMULP – Contorno Multipéptidos

📦 Lote: 9 kg → 600 u (envase 15 ml) ✅ Fabricado
📊 Stock post (Apr 28): ~632 u (~92 días)
⏭️ Próxima: Jul 4 (trigger 25 días, ciclo 65 días)"
2026-04-23T00:00:00Z,🧪 NPHA – Fabricación batch 12 kg,"NPHA_BATCH – Suero Nova-PHA

📦 Lote: 12 kg total
   • NPHA10 (10ml): ~181 u (1.8 kg) → 90 días
   • NPHA30 (30ml): ~318 u (9.5 kg) → 90 días
   Total: ~580 unidades

📊 Stock post-producción:
   • NPHA10: ~27 u + 181 = 208 u (90 días)
   • NPHA30: ~54 u + 318 = 372 u (90 días)

⏭️ Próxima producción: Jun 27 (trigger 25 días)"
2026-04-23T00:00:00Z,🔵 FAB — CRETT | Contorno Retinal | 9 kg,"FABRICACIÓN — Contorno Retinal 15ml
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📦 Granel: 9 kg
🧴 Presentación: 15ml
🔢 Unidades estimadas: ~600 und
📊 Stock actual: 233 und
📦 Stock total post-fab: ~833 und
📅 Cobertura: ~81 días (hasta ~12 Jul 2026)
⏰ Próximo trigger: ~18 Jun 2026

── NOTAS ──
Tasa de venta: 10.3 und/día
Envase al día siguiente (Vie 24 Abr)
Acondicionamiento: Lun 27 Abr"
2026-04-24T00:00:00Z,🧪 NPHA / CRETT – Envasado + Micro QC,Envasado + envío muestras microbiología: NPHA (12 kg) + CRETT (9 kg)
2026-04-28T00:00:00Z,💋 GLOSSN – Fabricación 5 kg / 500 u,"GLOSS_BATCH – Lip Sérum Translúcido

📦 Lote: 5 kg → 500 u (envase 10 ml)
📊 Stock post: ~536 u (~108 días)
⏭️ Próxima: Jul 26 (trigger 20 días)"
2026-04-28T00:00:00Z,🔵 FAB — LBHA | Limpiador BHA 2% | 200 kg,"FABRICACIÓN — Limpiador Facial BHA 2% | 150ml
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📦 Granel: 200 kg
🧴 Presentación: 150ml
🔢 Unidades totales: ~1,333 und

── DISTRIBUCIÓN ──
👤 Fernando Mesa: 500 und
🏢 ÁNIMUS LAB: 833 und

── STOCK ÁNIMUS ──
📊 Stock actual: 717 und
📦 Stock post-fab: ~1,550 und
📅 Cobertura: ~53 días
⏰ Próximo trigger: ~26 May 2026

── NOTAS ──
Tasa de venta: 29.0 und/día
Envasar: Mié 29"
2026-04-29T00:00:00Z,"🧴 GELH – Fabricación 1,250 u / 50 kg","GELH – Gel Hidratante

📦 Lote: 50 kg → 1,250 unidades (envase 40 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • ~50 u restantes al lunes + 1,250 = ~1,300 u (~85 días)

⏭️ Próxima producción: Jun 26 (trigger 25 días)"
2026-04-30T00:00:00Z,💧 SAH – Fabricación 90 kg (SAH30 + SAH10),"SAH_BATCH – Suero Hialurónico

📦 Lote: 75 kg total
   • SAH (30ml):
   • SAH10 (10ml): ~1,200 u

📊 Stock post-producción:
   • SAH 30ml: ~2,589 u (~88 días)
   • SAH10: ~1,562 u (~539 días)

⏭️ Próxima: Jul 3 (trigger 25 días)"
2026-04-30T00:00:00Z,💡 HKJ – Fabricación 20 kg / 400 u,"HKJ – Emulsión Hidratante Iluminadora

📦 Lote: 20 kg → 400 unidades (envase 50 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • 0 u + 400 = 400 u (~81 días)

⏭️ Próxima producción: Jun 27 (trigger 20 días)"
2026-05-04T00:00:00Z,"🌿 LKJ – Fabricación ~160 kg / 1,069 u","LKJ – Limpiador Iluminador Ácido Kójico

📦 Lote: ~90 kg → ~1,069 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • ~128 u restantes + 1,069 = ~1,197 u (90 días)

⏭️ Próxima: Jul 1 (trigger 30 días, ciclo 60 días)"
2026-05-04T00:00:00Z,🚀 BOOSTER TENSOR – Lanzamiento 6 kg,"BOOSTER TENSOR – Nuevo Lanzamiento 🚀

📦 Lote: 6 kg
🏭 Destino: ÁNIMUS LAB

⚠️ Primer lote — sin historial de ventas aún.
Programar próxima producción una vez se establezcan ventas reales."
2026-05-07T00:00:00Z,💧 HidraBalance – Lanzamiento 33 kg / 659 u,"HidraBalance – Emulsión Hidratante (reemplaza CRB3BHA)

📦 Lote: 33 kg → 659 u (envase 50 ml)
📤 Distribución:
   • 20 u → Influencers (lanzamiento)
   • 639 u → ÁNIMUS LAB (stock 90 días)

📊 Tasa ventas estimada: 7.1 u/día
⏭️ Próxima producción: Jul 11 (trigger 25 días)"
2026-05-08T00:00:00Z,"🧬 SMULPP – Fabricación 30 kg / 1,000 u","SMULPP – Suero Multipéptidos

📦 Lote: 30 kg → 1,000 u (envase 30 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post: ~841 u restantes + 1,000 = ~1,841 u
⏭️ Próxima: Jun 1 (primer lunes de cada mes)"
2026-05-11T00:00:00Z,🍊 SVITC – Fabricación 23 kg (30ml + 15ml) c/45 días,"SVITC_BATCH – Suero Vitamina C+

📦 Lote: 23 kg total
   • SVITC33 (30ml): 20 kg → 667 u
   • SVITC3315 (15ml): 3 kg → 200 u

🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤15 días de stock
   • Tasa: SVITC33 13.0 u/día | SVITC3315 1.7 u/día
   • Ciclo fijo: cada 45 días"
2026-05-12T00:00:00Z,🧴 AZHC – Fabricación batch 20 kg,"AZHC_BATCH – Suero AZ Hybrid Clear

📦 Lote: 20 kg total
   • AZHC 15ml: 440 unidades (6.6 kg)
   • AZHC30 30ml: 446 unidades (13.4 kg)

📊 Stock post-producción:
   • AZHC 15ml: ~463 u (~122 días)
   • AZHC30 30ml: ~713 u (~75 días)

⏭️ Próxima producción: Jun 23 (trigger 15 días AZHC30)"
2026-05-13T00:00:00Z,🧴 CRCUREA – Fabricación ~100 kg (c/60 días),"CRCUREA – Crema Corporal ReNova Body

📦 Lote: ~100 kg → ~668 u (envase 150 ml)
📤 Distribución:
   • Fernando Mesa: 500 u (75 kg)
   • ÁNIMUS LAB: 168 u (25 kg)

📊 Lógica de stock:
   • Trigger: ≤20 días de stock
   • Tasa: 2.8 u/día
   • Ciclo: cada 60 días"
2026-05-14T00:00:00Z,💄 MAXLASH – Fabricación 3 kg / 300 u,"MAXLASH – MaxLash Serum

📦 Lote: 3 kg → 300 unidades (envase 10 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción:
   • ~64 u restantes + 300 = ~364 u (~87 días)

⏭️ Próxima producción: Jun 30 (trigger 25 días)"
2026-05-15T00:00:00Z,💋 GLOSSMALVA – Fabricación ~2.5 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Malva

📦 Lote: ~2.5 kg → ~252 u (envase 10 ml)
📊 Trigger: ≤20 días | Meta: 90 días | Tasa: 3.6 u/día
📅 Ciclo: cada 70 días"
2026-05-15T00:00:00Z,🚿 LAH – Fabricación 70 kg / 466 u,"LAH – Limpiador Hidratante

📦 Lote: 70 kg → 466 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post: ~102 u + 466 = ~568 u (~83 días)
⏭️ Próxima: Jul 16 (trigger 20 días, ciclo 60 días)"
2026-05-18T00:00:00Z,🔬 TRIAC – Fabricación ~16 kg (c/60 días),"TRIAC_BATCH – Suero Triactive Retinoid+NAD 15ml

📦 Lote: ~16 kg → ~1,092 u (envase 15 ml)
🏭 Destino: 100% ÁNIMUS LAB
⚠️ TRIAC30 (30ml) no se produce por ahora

📊 Lógica de stock:
   • Trigger: ≤15 días de stock
   • Tasa: 18.2 u/día
   • Ciclo fijo: cada 60 días

📅 Ciclo: cada 60 días"
2026-05-20T00:00:00Z,🧬 RECN – Fabricación ~18 kg (15ml + 30ml),"RECN_BATCH – Suero Renova C10

📦 Lote: ~18 kg total
   • RECN-2 (30ml): 510 u (15.3 kg)
   • RECN-1 (15ml): 150 u (2.25 kg)

📊 Stock post-producción:
   • RECN-2: 127 u restantes + 510 = 637 u (75 días)
   • RECN-1: 0 u + 150 = 150 u (75 días)

⏭️ Próxima: Jul 18 (trigger 15 días, ciclo 60 días)"
2026-05-20T00:00:00Z,✨ TRX – Fabricación ~92 kg (c/90 días),"TRX_BATCH – Suero Iluminador TRX

📦 Lote: ~92 kg total
   • TRX (30ml): ~2,649 u (79 kg)
     → ÁNIMUS LAB: 2,349 u (70 kg)
     → Fernando Mesa: 300 u (9 kg)
   • TRX10 (10ml): 1,300 u fijas (13 kg)

📊 Lógica de stock:
   • Trigger: ≤25 días de stock (TRX30 limitante)
   • Tasa: TRX30 26.1 u/día | TRX10 4.5 u/día
   • Ciclo: cada 90 días"
2026-05-21T00:00:00Z,🌿 ECENT – Fabricación ~114 kg (c/90 días),"ECENT – Esencia Centella Asiática

📦 Lote: ~114 kg → ~950 u (envase 120 ml)
📤 Distribución:
   • ÁNIMUS LAB: 450 u (54 kg)
   • Fernando Mesa: 500 u (60 kg)

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Tasa: 5.0 u/día
   • Ciclo: cada 90 días"
2026-05-22T00:00:00Z,💋 GLOSSPEACH – Fabricación ~2.2 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Peach

📦 Lote: ~2.2 kg → ~216 u (envase 10 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤20 días de stock
   • Meta: 90 días post-producción
   • Tasa: 2.4 u/día
   • Ciclo: cada 70 días"
2026-05-22T00:00:00Z,💋 GLOSSMERLOT – Fabricación ~2 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Merlot

📦 Lote: ~2 kg → ~189 u (envase 10 ml)
📊 Trigger: ≤20 días | Meta: 90 días | Tasa: 2.7 u/día
📅 Ciclo: cada 70 días"
2026-05-25T00:00:00Z,SBHA 75 KG - Fabricacion ,
2026-05-25T00:00:00Z,🧴 EMLIM – Fabricación ~98 kg / 650 u (90 días),"EMLIM – Emulsión Limpiadora

📦 Lote: ~98 kg → ~650 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Stock post-producción: ~650 u (90 días)
⏭️ Próxima: Jul 21 (trigger 30 días, ciclo 60 días)"
2026-05-27T00:00:00Z,🧴 LBHA – Fabricación SIN Fernando Mesa (196 kg),"LBHA – Loción Bioenergética Hidratante Activa

📦 Lote: 196 kg → ~1,304 unidades (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB
🚫 SIN envío a Fernando Mesa

📅 Serie alternante: cada 90 días
   → Próxima CON Fernando: Jul 27, 2026

⚙️ Lógica de stock:
   • Tasa ventas: ~29 unidades/día
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-fabricación"
2026-06-01T00:00:00Z,"🧬 SMULPP – Fabricación 30 kg / 1,000 u (1er lunes c/mes)","SMULPP – Suero Multipéptidos

📦 Lote fijo: 30 kg → 1,000 u (envase 30 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Tasa: 24.3 u/día (~729 u/mes)
   • Ciclo: primer lunes de cada mes
   • Lote fijo: 30 kg (1,000 u = ~41 días)"
2026-06-01T00:00:00Z,📦 LBHA SIN Fernando – Acondicionamiento (c/90 días),"LBHA – Acondicionamiento final (196 kg, SIN Fernando)"
2026-06-05T00:00:00Z,🔬 NIA – Fabricación ~97 kg (c/90 días),"NIA_BATCH – Suero Niacinamida

📦 Lote: ~97 kg total
   • NIA (30ml): 2,790 u (84 kg) → ÁNIMUS LAB
   • NIA10 (10ml): 1,300 u fijas (13 kg) → ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock (NIA30 limitante)
   • Tasa: NIA 31.0 u/día | NIA10 4.2 u/día
   • Ciclo: cada 90 días"
2026-06-08T00:00:00Z,🧴 AZHC – Fabricación batch ~29 kg (transición a 90 días + Fernando Mesa),"AZHC_BATCH – Suero AZ Hybrid Clear

📦 Lote: ~29 kg total
   • AZHC30 30ml: ~917 u (27.5 kg)
     → 717 u para ÁNIMUS LAB
     → 200 u para Fernando Mesa
   • AZHC 15ml: ~104 u (1.5 kg) → ÁNIMUS LAB

📊 Stock al llegar (trigger 15 días desde Apr 24):
   • AZHC30: 143 u restantes → +717 = 860 u (90 días) ✅
   • AZHC 15ml: ~236 u restantes → +104 = 340 u (90 días) ✅

⏭️ Próxima producción: Ago 27 (reg"
2026-06-10T00:00:00Z,🔵 FAB — CRETT | Contorno Retinal | ~14 kg,"FABRICACIÓN RECURRENTE — Contorno Retinal 15ml
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📦 Granel: ~14 kg
🧴 Presentación: 15ml
🔢 Unidades estimadas: ~930 und
📅 Cobertura: 90 días
🔁 Frecuencia: cada 90 días

── NOTAS ──
Tasa de venta: 10.3 und/día
Envasar al día hábil siguiente
Acondicionar 2 días hábiles después de fab
Ajustar kg si las ventas cambian significativamente"
2026-06-12T00:00:00Z,🧴 GELH – Fabricación ~40 kg (c/65 días),"GELH – Gel Hidratante

📦 Lote: ~40 kg → ~988 unidades (envase 40 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-producción
   • Tasa: 15.2 u/día

📅 Ciclo: cada 65 días (90 − 25 = 65)"
2026-06-15T00:00:00Z,"☕ CCAFE – Fabricación 10 kg / 1,000 u (c/90 días)","CCAFE – Contorno Cafeína

📦 Lote fijo: 10 kg → 1,000 u (envase 10 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Tasa: 8.6 u/día
   • 10 kg = 1,000 u = ~116 días → ciclo ~90 días"
2026-06-17T00:00:00Z,🍊 SVITC – Fabricación 23 kg (30ml + 15ml) c/45 días,"SVITC_BATCH – Suero Vitamina C+

📦 Lote: 23 kg total
   • SVITC33 (30ml): 20 kg → 667 u
   • SVITC3315 (15ml): 3 kg → 200 u

🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤15 días de stock
   • Tasa: SVITC33 13.0 u/día | SVITC3315 1.7 u/día
   • Ciclo fijo: cada 45 días"
2026-06-19T00:00:00Z,💡 HKJ – Fabricación ~17 kg (c/70 días),"HKJ – Emulsión Hidratante Iluminadora

📦 Lote: ~17 kg → ~343 unidades (envase 50 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤20 días de stock
   • Meta: 90 días post-producción
   • Tasa: 4.9 u/día

📅 Ciclo: cada 70 días (90 − 20 = 70)"
2026-06-19T00:00:00Z,🧪 CRETT – Envasado + Micro QC (c/90 días),CRETT – Envasado + envío muestra microbiología (~9 kg)
2026-06-22T00:00:00Z,🧪 NPHA – Fabricación ~12 kg (c/65 días),"NPHA_BATCH – Suero Nova-PHA

📦 Lote: ~12 kg total
   • NPHA10 (10ml): ~150 u (1.5 kg)
   • NPHA30 (30ml): ~268 u (8.0 kg)
   Total: ~418 unidades

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-producción
   • Tasa: NPHA10 2.3 u/día | NPHA30 4.1 u/día

📅 Ciclo: cada 65 días (90 − 25 = 65)"
2026-06-23T00:00:00Z,📦 CRETT – Acondicionamiento (c/90 días),CRETT – Acondicionamiento final
2026-06-24T00:00:00Z,💄 MAXLASH – Fabricación ~3 kg (c/65 días),"MAXLASH – MaxLash Serum

📦 Lote: ~3 kg → ~272 unidades (envase 10 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-producción
   • Tasa: 4.2 u/día

📅 Ciclo: cada 65 días (90 − 25 = 65)"
2026-06-25T00:00:00Z,🧪 CCAFE – Envasado + Micro QC (c/90 días),CCAFE – Envasado + envío muestra microbiología (10 kg)
2026-06-26T00:00:00Z,🌿 LKJ – Fabricación ~120 kg (c/60 días),"LKJ – Limpiador Iluminador Ácido Kójico

📦 Lote: ~120 kg → ~798 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤30 días de stock
   • Meta: 90 días post-producción
   • Tasa: 13.3 u/día
   • Ciclo: 60 días (90 − 30 = 60)"
2026-06-29T00:00:00Z,💫 EILU – Fabricación 20 kg / 400 u ⚠️ Evaluar próxima producción,"EILU – Esencia Iluminadora

📦 Lote: 20 kg → 400 u (envase 50 ml)
🏭 Destino: 100% ÁNIMUS LAB

⚠️ EVALUAR PRODUCCIÓN: Revisar evolución de ventas antes de programar siguiente lote.
   • Ventas actuales: ~4 u/mes (muy bajas)
   • 400 u = ~100 meses de stock al ritmo actual"
2026-06-29T00:00:00Z,📦 CCAFE – Acondicionamiento (c/90 días),CCAFE – Acondicionamiento final
2026-07-01T00:00:00Z,💧 SAH – Fabricación 75 kg (c/74 días),"SAH_BATCH – Suero Hialurónico

📦 Lote fijo: 75 kg
   • SAH (30ml): ~2,167 u (65 kg)
   • SAH10 (10ml): ~1,000 u (10 kg)

📊 Lógica de stock:
   • Trigger: ≤25 días de stock (SAH30 es limitante)
   • Tasa: SAH 29.3 u/día | SAH10 2.9 u/día
   • Ciclo: cada 74 días"
2026-07-03T00:00:00Z,👁️ CMULP – Fabricación ~7 kg (c/65 días),"CMULP – Contorno Multipéptidos

📦 Lote: ~7 kg → ~449 u (envase 15 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-producción
   • Tasa: 6.9 u/día
   • Ciclo: 65 días (90 − 25 = 65)"
2026-07-06T00:00:00Z,"🧬 SMULPP – Fabricación 30 kg / 1,000 u (1er lunes c/mes)","SMULPP – Suero Multipéptidos

📦 Lote fijo: 30 kg → 1,000 u (envase 30 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Tasa: 24.3 u/día (~729 u/mes)
   • Ciclo: primer lunes de cada mes
   • Lote fijo: 30 kg (1,000 u = ~41 días)"
2026-07-08T00:00:00Z,🧴 LBHA – Fabricación CON Fernando Mesa (271 kg),"LBHA – Loción Bioenergética Hidratante Activa

📦 Lote: 271 kg → ~1,804 unidades (envase 150 ml)
📤 Distribución:
   • Fernando Mesa: 500 unidades
   • ÁNIMUS LAB: 1,304 unidades

📅 Serie alternante: cada 90 días
   → Anterior SIN Fernando: Jun 12, 2026

⚙️ Lógica de stock:
   • Tasa ventas: ~29 unidades/día
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-fabricación"
2026-07-10T00:00:00Z,💧 HidraBalance – Fabricación ~23 kg (c/65 días),"HidraBalance – Emulsión Hidratante

📦 Lote: ~23 kg → ~461 u (envase 50 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Meta: 90 días post-producción
   • Tasa: 7.1 u/día

📅 Ciclo: cada 65 días (90 − 25 = 65)"
2026-07-13T00:00:00Z,🧴 CRCUREA – Fabricación ~100 kg (c/60 días),"CRCUREA – Crema Corporal ReNova Body

📦 Lote: ~100 kg → ~668 u (envase 150 ml)
📤 Distribución:
   • Fernando Mesa: 500 u (75 kg)
   • ÁNIMUS LAB: 168 u (25 kg)

📊 Lógica de stock:
   • Trigger: ≤20 días de stock
   • Tasa: 2.8 u/día
   • Ciclo: cada 60 días"
2026-07-15T00:00:00Z,🔬 TRIAC – Fabricación ~16 kg (c/60 días),"TRIAC_BATCH – Suero Triactive Retinoid+NAD 15ml

📦 Lote: ~16 kg → ~1,092 u (envase 15 ml)
🏭 Destino: 100% ÁNIMUS LAB
⚠️ TRIAC30 (30ml) no se produce por ahora

📊 Lógica de stock:
   • Trigger: ≤15 días de stock
   • Tasa: 18.2 u/día
   • Ciclo fijo: cada 60 días

📅 Ciclo: cada 60 días"
2026-07-15T00:00:00Z,🧪 LBHA CON Fernando – Envasado + Micro QC (c/90 días),"LBHA – Envasado + envío muestra microbiología (271 kg, CON Fernando)"
2026-07-17T00:00:00Z,🚿 LAH – Fabricación 70 kg (c/60 días),"LAH – Limpiador Hidratante

📦 Lote fijo: 70 kg → 466 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤20 días de stock
   • Tasa: 6.8 u/día
   • Ciclo: cada 60 días"
2026-07-20T00:00:00Z,🧬 RECN – Fabricación ~17 kg (c/60 días),"RECN_BATCH – Suero Renova C10

📦 Lote: ~17 kg total
   • RECN-2 (30ml): ~510 u (15.3 kg)
   • RECN-1 (15ml): ~120 u (1.8 kg)

📊 Lógica de stock:
   • Trigger: ≤15 días de stock
   • Meta: 75 días post-producción
   • Ciclo: 60 días (75 − 15 = 60)
   • Tasa: RECN-2 8.5 u/día | RECN-1 ~2 u/día"
2026-07-20T00:00:00Z,📦 LBHA CON Fernando – Acondicionamiento (c/90 días),"LBHA – Acondicionamiento final (271 kg, CON Fernando)"
2026-07-22T00:00:00Z,🧪 EMLIM – Envasado + Micro QC (c/60 días),EMLIM – Envasado + envío muestra microbiología (~65 kg)
2026-07-22T00:00:00Z,🧴 EMLIM – Fabricación ~65 kg (c/60 días),"EMLIM – Emulsión Limpiadora

📦 Lote: ~65 kg → ~433 u (envase 150 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤30 días de stock
   • Meta: 90 días post-producción
   • Tasa: 7.2 u/día
   • Ciclo: 60 días (90 − 30 = 60)"
2026-07-24T00:00:00Z,💋 GLOSSMALVA – Fabricación ~2.5 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Malva

📦 Lote: ~2.5 kg → ~252 u (envase 10 ml)
📊 Trigger: ≤20 días | Meta: 90 días | Tasa: 3.6 u/día
📅 Ciclo: cada 70 días"
2026-07-24T00:00:00Z,📦 EMLIM – Acondicionamiento (c/60 días),EMLIM – Acondicionamiento final
2026-07-27T00:00:00Z,💋 GLOSSN – Fabricación ~3.5 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Translúcido

📦 Lote: ~3.5 kg → ~347 u (envase 10 ml)
📊 Trigger: ≤20 días | Meta: 90 días | Tasa: 5.0 u/día
📅 Ciclo: cada 70 días"
2026-07-29T00:00:00Z,💋 GLOSSMERLOT – Fabricación ~2 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Merlot

📦 Lote: ~2 kg → ~189 u (envase 10 ml)
📊 Trigger: ≤20 días | Meta: 90 días | Tasa: 2.7 u/día
📅 Ciclo: cada 70 días"
2026-07-31T00:00:00Z,"🧬 SMULPP – Fabricación 30 kg / 1,000 u (1er lunes c/mes)","SMULPP – Suero Multipéptidos

📦 Lote fijo: 30 kg → 1,000 u (envase 30 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Tasa: 24.3 u/día (~729 u/mes)
   • Ciclo: primer lunes de cada mes
   • Lote fijo: 30 kg (1,000 u = ~41 días)"
2026-08-03T00:00:00Z,🔬 TRIAC – Fabricación ~21 kg (c/75 días),"TRIAC_BATCH – Suero Triactive Retinoid+NAD

📦 Lote: ~21 kg → ~1,365 u (envase 15 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica de stock:
   • Trigger: ≤15 días de stock
   • Meta: 90 días post-producción
   • Tasa: 18.2 u/día

📅 Ciclo: cada 75 días (90 − 15 = 75)"
2026-08-03T00:00:00Z,🧪 GLOSSMERLOT / GLOSSPEACH – Envasado + Micro QC (c/70 días),Envasado + envío muestras microbiología: GLOSSMERLOT (~2 kg) + GLOSSPEACH (~2.2 kg)
2026-08-05T00:00:00Z,💋 GLOSSPEACH – Fabricación ~2.2 kg (c/70 días),"GLOSS_BATCH – Lip Sérum Peach

📦 Lote: ~2.2 kg → ~216 u (envase 10 ml)
🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤20 días de stock
   • Meta: 90 días post-producción
   • Tasa: 2.4 u/día
   • Ciclo: cada 70 días"
2026-08-07T00:00:00Z,🍊 SVITC – Fabricación 23 kg (30ml + 15ml) c/45 días,"SVITC_BATCH – Suero Vitamina C+

📦 Lote: 23 kg total
   • SVITC33 (30ml): 20 kg → 667 u
   • SVITC3315 (15ml): 3 kg → 200 u

🏭 Destino: 100% ÁNIMUS LAB

📊 Lógica:
   • Trigger: ≤15 días de stock
   • Tasa: SVITC33 13.0 u/día | SVITC3315 1.7 u/día
   • Ciclo fijo: cada 45 días"
2026-08-10T00:00:00Z,✨ TRX – Fabricación ~92 kg (c/90 días),"TRX_BATCH – Suero Iluminador TRX

📦 Lote: ~92 kg total
   • TRX (30ml): ~2,649 u (79 kg)
     → ÁNIMUS LAB: 2,349 u (70 kg)
     → Fernando Mesa: 300 u (9 kg)
   • TRX10 (10ml): 1,300 u fijas (13 kg)

📊 Lógica de stock:
   • Trigger: ≤25 días de stock (TRX30 limitante)
   • Tasa: TRX30 26.1 u/día | TRX10 4.5 u/día
   • Ciclo: cada 90 días"
2026-08-12T00:00:00Z,🌿 ECENT – Fabricación ~114 kg (c/90 días),"ECENT – Esencia Centella Asiática

📦 Lote: ~114 kg → ~950 u (envase 120 ml)
📤 Distribución:
   • ÁNIMUS LAB: 450 u (54 kg)
   • Fernando Mesa: 500 u (60 kg)

📊 Lógica de stock:
   • Trigger: ≤25 días de stock
   • Tasa: 5.0 u/día
   • Ciclo: cada 90 días"
2026-08-14T00:00:00Z,🧴 AZHC – Fabricación batch ~28 kg (c/65 días + Fernando Mesa),"AZHC_BATCH – Suero AZ Hybrid Clear

📦 Lote: ~28 kg total
   • AZHC30 30ml: ~821 u (24.6 kg)
     → 621 u para ÁNIMUS LAB
     → 200 u para Fernando Mesa
   • AZHC 15ml: ~246 u (3.7 kg) → ÁNIMUS LAB

📊 Lógica de stock (para ÁNIMUS LAB):
   • Trigger: ≤25 días de stock (AZHC30 es el limitante)
   • Meta: 90 días post-producción
   • Tasa: AZHC 3.8 u/día | AZHC30 9.6 u/día

📅 Ciclo: cada 65 días (90 "
